1,Galaxy S20 5G,10MP Selfie Camera
1,Galaxy S20 5G,Dual Pixel AF
1,Galaxy S20 5G,Pixel size: 1.22μm
1,Galaxy S20 5G,FOV: 80˚
1,Galaxy S20 5G,F.No (aperture): F2.2
1341,iPhone 11 Pro,12MP camera
1341,iPhone 11 Pro,ƒ/2.2 aperture
1341,iPhone 11 Pro,Portrait mode with advanced bokeh and Depth Control
1341,iPhone 11 Pro,Animoji and Memoji
1341,iPhone 11 Pro,4K video recording at 24 fps or 30 fps or 60 fps
1341,iPhone 11 Pro,1080p HD video recording at 30 fps or 60 fps
1341,iPhone 11 Pro,Slo-mo video support for 1080p at 120 fps
1341,iPhone 11 Pro,Next-generation Smart HDR for photos
1341,iPhone 11 Pro,Extended dynamic range for video at 30 fps
1341,iPhone 11 Pro,Cinematic video stabilization (4K and 1080p and 720p)
1341,iPhone 11 Pro,Wide color capture for photos and Live Photos
1341,iPhone 11 Pro,Retina Flash
1341,iPhone 11 Pro,Auto image stabilization
1341,iPhone 11 Pro,Burst mode
4228,Google Pixel 4a,8 MP
4228,Google Pixel 4a,1.12 μm pixel size
4228,Google Pixel 4a,ƒ/2.0 aperture
4228,Google Pixel 4a,Fixed focus
